x,y,MAX_REL_HUMIDITY,SPEED_MAX_GUST,PROVINCE_CODE,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,CLIMATE_IDENTIFIER
-112.675,51.66027777777778,,,AB,2003-08-10 00:00:00,22.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-11 00:00:00,19.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-12 00:00:00,20.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-13 00:00:00,20.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-14 00:00:00,19.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-15 00:00:00,19.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-16 00:00:00,22.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-17 00:00:00,19.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-18 00:00:00,22.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-19 00:00:00,17.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-20 00:00:00,17.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-21 00:00:00,21.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-22 00:00:00,19.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-23 00:00:00,13.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-24 00:00:00,14.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-25 00:00:00,16.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-26 00:00:00,18.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-27 00:00:00,15.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-28 00:00:00,12.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-29 00:00:00,13.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-30 00:00:00,18,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-08-31 00:00:00,18.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-01 00:00:00,16.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-02 00:00:00,13.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-03 00:00:00,20,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-04 00:00:00,18.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-05 00:00:00,19.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-06 00:00:00,20,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-07 00:00:00,21.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-08 00:00:00,14.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-09 00:00:00,9.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-10 00:00:00,14.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-11 00:00:00,10.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-12 00:00:00,6.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-13 00:00:00,10.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-14 00:00:00,12.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-15 00:00:00,5.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-16 00:00:00,1.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-17 00:00:00,-0.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-18 00:00:00,6.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-19 00:00:00,10.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-20 00:00:00,10.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-21 00:00:00,9.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-22 00:00:00,11,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-23 00:00:00,6.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-24 00:00:00,4.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-25 00:00:00,9.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-26 00:00:00,10.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-27 00:00:00,10.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-28 00:00:00,9.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-29 00:00:00,5.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-09-30 00:00:00,8.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-01 00:00:00,11.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-02 00:00:00,12.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-03 00:00:00,11.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-04 00:00:00,13.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-05 00:00:00,13.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-06 00:00:00,15.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-07 00:00:00,14.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-08 00:00:00,9.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-09 00:00:00,9.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-10 00:00:00,6.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-11 00:00:00,4.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-12 00:00:00,5.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-13 00:00:00,5.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-14 00:00:00,3.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-15 00:00:00,1.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-16 00:00:00,4.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-17 00:00:00,11.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-18 00:00:00,14.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-19 00:00:00,12.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-20 00:00:00,4.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-21 00:00:00,15.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-22 00:00:00,7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-23 00:00:00,6.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-24 00:00:00,0.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-25 00:00:00,1.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-26 00:00:00,15.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-27 00:00:00,7.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-28 00:00:00,2.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-29 00:00:00,-3.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-30 00:00:00,-11.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-10-31 00:00:00,-14.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-01 00:00:00,-5.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-02 00:00:00,-11.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-03 00:00:00,-12.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-04 00:00:00,-16.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-05 00:00:00,-15.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-06 00:00:00,-8.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-07 00:00:00,-11,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-08 00:00:00,-10.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-09 00:00:00,-9.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-10 00:00:00,-7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-11 00:00:00,-5.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-12 00:00:00,-6.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-13 00:00:00,-1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-14 00:00:00,-2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-15 00:00:00,-8.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-16 00:00:00,-3.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-17 00:00:00,-5.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-18 00:00:00,-2.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-19 00:00:00,-6.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-20 00:00:00,-16.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-21 00:00:00,-17.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-22 00:00:00,-23.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-23 00:00:00,-15.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-24 00:00:00,-8.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-25 00:00:00,-10.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-26 00:00:00,-8.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-27 00:00:00,-13.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-28 00:00:00,-1.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-29 00:00:00,-6.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-11-30 00:00:00,-6.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-01 00:00:00,-10.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-02 00:00:00,-11.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-03 00:00:00,-3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-04 00:00:00,-13.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-05 00:00:00,-3.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-06 00:00:00,-0.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-07 00:00:00,-10.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-08 00:00:00,-15.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-09 00:00:00,-14.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-10 00:00:00,-17.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-11 00:00:00,-18.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-12 00:00:00,-11.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-13 00:00:00,-7.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-14 00:00:00,-8.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-15 00:00:00,-10.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-16 00:00:00,-4.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-17 00:00:00,-3.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-18 00:00:00,-5.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-19 00:00:00,-2.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-20 00:00:00,-2.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-21 00:00:00,-7.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-22 00:00:00,-7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-23 00:00:00,-4.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-24 00:00:00,-0.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-25 00:00:00,-4.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-26 00:00:00,-7.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-27 00:00:00,-9.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-28 00:00:00,-15.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-29 00:00:00,-14.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-30 00:00:00,-17.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2003-12-31 00:00:00,-14,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-01 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-02 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-03 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-04 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-05 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-06 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-07 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-08 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-09 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-10 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-11 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-12 00:00:00,-8.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-13 00:00:00,-2.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-14 00:00:00,-0.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-15 00:00:00,-1.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-16 00:00:00,-6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-17 00:00:00,-10.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-18 00:00:00,-8.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-19 00:00:00,-8.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-20 00:00:00,-6.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-21 00:00:00,-7.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-22 00:00:00,-1.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-23 00:00:00,-6.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-24 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-25 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-26 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-27 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-28 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-29 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-30 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-01-31 00:00:00,,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-01 00:00:00,-22.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-02 00:00:00,-22,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-03 00:00:00,-20.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-04 00:00:00,-12.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-05 00:00:00,-15.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-06 00:00:00,-11.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-07 00:00:00,-3.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-08 00:00:00,-4.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-09 00:00:00,-4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-10 00:00:00,-7.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-11 00:00:00,-17.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-12 00:00:00,-6.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-13 00:00:00,-7.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-14 00:00:00,-7.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-15 00:00:00,-5.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-16 00:00:00,-10.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-17 00:00:00,1.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-18 00:00:00,-3.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-19 00:00:00,-3.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-20 00:00:00,-4.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-21 00:00:00,-3.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-22 00:00:00,-5.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-23 00:00:00,-6.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-24 00:00:00,-10,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-25 00:00:00,-10.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-26 00:00:00,-5.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-27 00:00:00,-3.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-28 00:00:00,-5.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-02-29 00:00:00,-7.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-01 00:00:00,-9.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-02 00:00:00,-13.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-03 00:00:00,-18.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-04 00:00:00,-14.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-05 00:00:00,-10.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-06 00:00:00,-3.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-07 00:00:00,-2.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-08 00:00:00,-1.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-09 00:00:00,2.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-10 00:00:00,-2.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-11 00:00:00,-0.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-12 00:00:00,0.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-13 00:00:00,-1.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-14 00:00:00,0.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-15 00:00:00,-0.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-16 00:00:00,1.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-17 00:00:00,1.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-18 00:00:00,4.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-19 00:00:00,1.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-20 00:00:00,-1.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-21 00:00:00,-0.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-22 00:00:00,1.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-23 00:00:00,2.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-24 00:00:00,5.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-25 00:00:00,1.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-26 00:00:00,3.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-27 00:00:00,4.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-28 00:00:00,4.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-29 00:00:00,7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-30 00:00:00,13.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-03-31 00:00:00,6.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-01 00:00:00,2.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-02 00:00:00,4.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-03 00:00:00,6.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-04 00:00:00,8.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-05 00:00:00,7.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-06 00:00:00,3.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-07 00:00:00,5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-08 00:00:00,5.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-09 00:00:00,5.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-10 00:00:00,6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-11 00:00:00,7.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-12 00:00:00,11.8,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-13 00:00:00,5.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-14 00:00:00,0.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-15 00:00:00,-1.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-16 00:00:00,-1.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-17 00:00:00,3.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-18 00:00:00,4.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-19 00:00:00,6.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-20 00:00:00,4.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-21 00:00:00,7.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-22 00:00:00,7.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-23 00:00:00,10.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-24 00:00:00,7.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-25 00:00:00,7.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-26 00:00:00,13.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-27 00:00:00,14.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-28 00:00:00,4.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-29 00:00:00,6.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-04-30 00:00:00,6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-01 00:00:00,9.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-02 00:00:00,15.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-03 00:00:00,9.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-04 00:00:00,12,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-05 00:00:00,0.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-06 00:00:00,3.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-07 00:00:00,8.6,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-08 00:00:00,9.3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-09 00:00:00,3,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-10 00:00:00,1.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-11 00:00:00,2.7,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-12 00:00:00,2.9,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-13 00:00:00,4.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-14 00:00:00,6.2,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-15 00:00:00,6.4,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-16 00:00:00,10.1,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-17 00:00:00,12.5,MORRIN AGDM,3024668
-112.675,51.66027777777778,,,AB,2004-05-18 00:00:00,15.2,MORRIN AGDM,3024668
