Longitude,Latitude,MAX_REL_HUMIDITY,SPEED_MAX_GUST,Province,Date,MEAN_TEMPERATURE,Name,Climate ID,Station ID
-114.03333333333332,54.93333333333333,,,AB,1988-05-13 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-14 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-15 00:00:00,10.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-16 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-17 00:00:00,11.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-18 00:00:00,8.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-19 00:00:00,10.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-20 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-21 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-22 00:00:00,17.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-23 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-24 00:00:00,10.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-25 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-26 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-27 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-28 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-29 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-30 00:00:00,10.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-05-31 00:00:00,11.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-01 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-02 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-03 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-04 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-05 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-06 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-07 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-08 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-09 00:00:00,16.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-10 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-11 00:00:00,10.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-12 00:00:00,8.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-13 00:00:00,10.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-14 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-15 00:00:00,16.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-16 00:00:00,16.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-17 00:00:00,18.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-18 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-19 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-20 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-21 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-22 00:00:00,16.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-23 00:00:00,16.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-24 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-25 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-26 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-27 00:00:00,19.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-28 00:00:00,18.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-29 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-06-30 00:00:00,16.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-01 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-02 00:00:00,16.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-03 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-04 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-05 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-06 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-07 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-08 00:00:00,16.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-09 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-10 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-11 00:00:00,17.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-12 00:00:00,16.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-13 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-14 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-15 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-16 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-17 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-18 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-19 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-20 00:00:00,20.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-21 00:00:00,22.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-22 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-23 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-24 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-25 00:00:00,19.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-26 00:00:00,20.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-27 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-28 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-29 00:00:00,16.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-30 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-07-31 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-01 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-02 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-03 00:00:00,17.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-04 00:00:00,18.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-05 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-06 00:00:00,11.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-07 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-08 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-09 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-10 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-11 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-12 00:00:00,16.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-13 00:00:00,19.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-14 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-15 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-16 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-17 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-18 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-19 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-20 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-21 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-22 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-23 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-24 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-25 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-26 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-27 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-28 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-29 00:00:00,17.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-30 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-08-31 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-01 00:00:00,15.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-02 00:00:00,19.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-03 00:00:00,18.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-04 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-05 00:00:00,19.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-06 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-07 00:00:00,9.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-08 00:00:00,9.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-09 00:00:00,5.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-10 00:00:00,6.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-11 00:00:00,10.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-12 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-13 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-14 00:00:00,16.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-15 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-16 00:00:00,6.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-17 00:00:00,3.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-18 00:00:00,5.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-19 00:00:00,5.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-20 00:00:00,5.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-21 00:00:00,6.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-22 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-23 00:00:00,3.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-24 00:00:00,4.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-25 00:00:00,1.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-26 00:00:00,1.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-27 00:00:00,2.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-28 00:00:00,6.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-29 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-09-30 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-01 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-02 00:00:00,5.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-03 00:00:00,4.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-04 00:00:00,9.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-05 00:00:00,11.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-06 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-07 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-08 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-09 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-10 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-11 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-12 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-13 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-14 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-15 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-16 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-17 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-18 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-19 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-20 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-21 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-22 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-23 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-24 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-25 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-26 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-27 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-28 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-29 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-30 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1988-10-31 00:00:00,,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-01 00:00:00,2.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-02 00:00:00,1.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-03 00:00:00,2.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-04 00:00:00,2.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-05 00:00:00,1.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-06 00:00:00,1.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-07 00:00:00,-0.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-08 00:00:00,-2.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-09 00:00:00,1.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-10 00:00:00,4.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-11 00:00:00,8.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-12 00:00:00,6.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-13 00:00:00,3.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-14 00:00:00,5.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-15 00:00:00,4.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-16 00:00:00,-9.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-17 00:00:00,-3.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-18 00:00:00,4.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-19 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-20 00:00:00,9.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-21 00:00:00,9.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-22 00:00:00,4.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-23 00:00:00,3.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-24 00:00:00,4.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-25 00:00:00,6.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-26 00:00:00,6.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-27 00:00:00,8.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-28 00:00:00,10.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-29 00:00:00,12.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-04-30 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-01 00:00:00,11.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-02 00:00:00,5.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-03 00:00:00,9.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-04 00:00:00,8.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-05 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-06 00:00:00,13.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-07 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-08 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-09 00:00:00,17.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-10 00:00:00,18.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-11 00:00:00,10.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-12 00:00:00,9.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-13 00:00:00,8.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-14 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-15 00:00:00,13.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-16 00:00:00,15.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-17 00:00:00,11.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-18 00:00:00,8.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-19 00:00:00,1.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-20 00:00:00,1.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-21 00:00:00,2.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-22 00:00:00,3.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-23 00:00:00,6.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-24 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-25 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-26 00:00:00,7.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-27 00:00:00,4.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-28 00:00:00,6.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-29 00:00:00,12.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-30 00:00:00,10.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-05-31 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-06-01 00:00:00,14.5,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-06-02 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-06-03 00:00:00,14.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-06-04 00:00:00,17.0,CHISHOLM LO,3061570,3344
-114.03333333333332,54.93333333333333,,,AB,1989-06-05 00:00:00,19.5,CHISHOLM LO,3061570,3344
